Transaction ID,Date,Customer ID,Gender,Age, State ,Product Category,Quantity,Price per Unit,Total Amount,Month Start,Age Group
61,09-04-2023,CUST061,Male,21, Telangana ,Beauty,4,50,200,Apr 2023,Under 30
62,27-12-2023,CUST062,Male,18, Manipur ,Beauty,2,50,100,Dec 2023,Under 30
63,05-02-2023,CUST063,Male,57, Nagaland ,Electronics,2,25,50,Feb 2023,45-59
64,24-01-2023,CUST064,Male,49, Bihar ,Clothing,4,25,100,Jan 2023,45-59
65,05-12-2023,CUST065,Male,51, Madhya Pradesh ,Electronics,4,500,2000,Dec 2023,45-59
66,27-04-2023,CUST066,Female,45, Assam ,Electronics,1,30,30,Apr 2023,45-59
67,29-05-2023,CUST067,Female,48, Nagaland ,Beauty,4,300,1200,May 2023,45-59
68,10-02-2023,CUST068,Male,25, Jharkhand ,Electronics,1,300,300,Feb 2023,Under 30
69,30-04-2023,CUST069,Female,56, Uttarakhand ,Beauty,3,25,75,Apr 2023,45-59
70,21-02-2023,CUST070,Female,43, Rajasthan ,Clothing,1,300,300,Feb 2023,30-44
71,14-07-2023,CUST071,Female,51, Punjab ,Beauty,4,25,100,Jul 2023,45-59
72,23-05-2023,CUST072,Female,20, West Bengal ,Electronics,4,500,2000,May 2023,Under 30
73,21-08-2023,CUST073,Male,29, Kerala ,Electronics,3,30,90,Aug 2023,Under 30
74,22-11-2023,CUST074,Female,18, Odisha ,Beauty,4,500,2000,Nov 2023,Under 30
75,06-07-2023,CUST075,Male,61, Gujarat ,Beauty,4,50,200,Jul 2023,60+
76,25-03-2023,CUST076,Female,22, Tamil Nadu ,Electronics,2,50,100,Mar 2023,Under 30
77,09-07-2023,CUST077,Female,47, Assam ,Clothing,2,50,100,Jul 2023,45-59
78,01-07-2023,CUST078,Female,47, Arunachal Pradesh ,Clothing,3,500,1500,Jul 2023,45-59
79,18-04-2023,CUST079,Male,34, Sikkim ,Beauty,1,300,300,Apr 2023,30-44
80,10-12-2023,CUST080,Female,64, Haryana ,Clothing,2,30,60,Dec 2023,60+
81,17-05-2023,CUST081,Male,40, Tripura ,Electronics,1,50,50,May 2023,30-44
82,26-12-2023,CUST082,Female,32, Jharkhand ,Beauty,4,50,200,Dec 2023,30-44
83,16-12-2023,CUST083,Male,54, Assam ,Electronics,2,50,100,Dec 2023,45-59
84,28-11-2023,CUST084,Female,38, West Bengal ,Electronics,3,30,90,Nov 2023,30-44
85,06-02-2023,CUST085,Male,31, Haryana ,Clothing,3,50,150,Feb 2023,30-44
86,08-11-2023,CUST086,Male,19, West Bengal ,Beauty,3,30,90,Nov 2023,Under 30
87,22-11-2023,CUST087,Female,28, Bihar ,Beauty,2,50,100,Nov 2023,Under 30
88,29-03-2023,CUST088,Male,56, Madhya Pradesh ,Clothing,1,500,500,Mar 2023,45-59
89,01-10-2023,CUST089,Female,55, Himachal Pradesh ,Electronics,4,500,2000,Oct 2023,45-59
90,06-05-2023,CUST090,Female,51, Manipur ,Electronics,1,30,30,May 2023,45-59
91,25-03-2023,CUST091,Female,55, Rajasthan ,Electronics,1,500,500,Mar 2023,45-59
92,25-08-2023,CUST092,Female,51, Uttarakhand ,Electronics,4,30,120,Aug 2023,45-59
93,14-07-2023,CUST093,Female,35, Kerala ,Beauty,4,500,2000,Jul 2023,30-44
94,19-05-2023,CUST094,Female,47, Goa ,Beauty,2,500,1000,May 2023,45-59
95,24-11-2023,CUST095,Female,32, Kerala ,Clothing,2,30,60,Nov 2023,30-44
96,19-12-2023,CUST096,Female,44, Kerala ,Clothing,2,300,600,Dec 2023,30-44
97,13-10-2023,CUST097,Female,51, Gujarat ,Beauty,2,500,1000,Oct 2023,45-59
98,23-04-2023,CUST098,Female,55, Sikkim ,Beauty,2,50,100,Apr 2023,45-59
99,17-12-2023,CUST099,Female,50, Himachal Pradesh ,Electronics,4,300,1200,Dec 2023,45-59
100,16-06-2023,CUST100,Male,41, Tamil Nadu ,Electronics,1,30,30,Jun 2023,30-44
101,29-01-2023,CUST101,Male,32, Sikkim ,Clothing,2,300,600,Jan 2023,30-44
102,28-04-2023,CUST102,Female,47, Rajasthan ,Beauty,2,25,50,Apr 2023,45-59
103,17-01-2023,CUST103,Female,59, Assam ,Clothing,1,25,25,Jan 2023,45-59
104,11-06-2023,CUST104,Female,34, Punjab ,Beauty,2,500,1000,Jun 2023,30-44
105,25-07-2023,CUST105,Female,22, Rajasthan ,Electronics,1,500,500,Jul 2023,Under 30
106,18-05-2023,CUST106,Female,46, Goa ,Clothing,1,50,50,May 2023,45-59
107,03-02-2023,CUST107,Female,21, Nagaland ,Clothing,4,300,1200,Feb 2023,Under 30
108,19-04-2023,CUST108,Female,27, Telangana ,Beauty,3,25,75,Apr 2023,Under 30
109,18-10-2023,CUST109,Female,34, Haryana ,Electronics,4,500,2000,Oct 2023,30-44
110,11-06-2023,CUST110,Male,27, Goa ,Clothing,3,300,900,Jun 2023,Under 30
111,19-04-2023,CUST111,Female,34, Manipur ,Electronics,3,500,1500,Apr 2023,30-44
112,02-12-2023,CUST112,Male,37, Madhya Pradesh ,Clothing,3,500,1500,Dec 2023,30-44
113,13-09-2023,CUST113,Female,41, Himachal Pradesh ,Electronics,2,25,50,Sep 2023,30-44
114,22-07-2023,CUST114,Female,22, Rajasthan ,Beauty,4,25,100,Jul 2023,Under 30
115,26-11-2023,CUST115,Male,51, Tamil Nadu ,Clothing,3,500,1500,Nov 2023,45-59
116,23-08-2023,CUST116,Female,23, Nagaland ,Clothing,1,30,30,Aug 2023,Under 30
117,15-03-2023,CUST117,Male,19, Haryana ,Electronics,2,500,1000,Mar 2023,Under 30
118,16-05-2023,CUST118,Female,30, Sikkim ,Electronics,4,500,2000,May 2023,30-44
119,13-03-2023,CUST119,Female,60, Karnataka ,Clothing,3,50,150,Mar 2023,60+
120,07-05-2023,CUST120,Male,60, Uttarakhand ,Beauty,1,50,50,May 2023,60+
121,15-10-2023,CUST121,Female,28, Tripura ,Electronics,4,50,200,Oct 2023,Under 30
122,03-10-2023,CUST122,Male,64, Tripura ,Electronics,4,30,120,Oct 2023,60+
123,15-05-2023,CUST123,Female,40, Arunachal Pradesh ,Electronics,2,30,60,May 2023,30-44
124,27-10-2023,CUST124,Male,33, Haryana ,Clothing,4,500,2000,Oct 2023,30-44
125,08-08-2023,CUST125,Male,48, Uttarakhand ,Clothing,2,50,100,Aug 2023,45-59
126,26-10-2023,CUST126,Female,28, Arunachal Pradesh ,Clothing,3,30,90,Oct 2023,Under 30
127,24-07-2023,CUST127,Female,33, Uttar Pradesh ,Clothing,2,25,50,Jul 2023,30-44
128,05-07-2023,CUST128,Male,25, Karnataka ,Beauty,1,500,500,Jul 2023,Under 30
129,23-04-2023,CUST129,Female,21, Madhya Pradesh ,Beauty,2,300,600,Apr 2023,Under 30
130,12-03-2023,CUST130,Female,57, Himachal Pradesh ,Clothing,1,500,500,Mar 2023,45-59
131,18-09-2023,CUST131,Female,21, Assam ,Beauty,2,300,600,Sep 2023,Under 30
132,10-09-2023,CUST132,Male,42, Gujarat ,Electronics,4,50,200,Sep 2023,30-44
133,16-02-2023,CUST133,Male,20, Odisha ,Electronics,3,300,900,Feb 2023,Under 30
134,25-01-2023,CUST134,Male,49, Tamil Nadu ,Electronics,1,50,50,Jan 2023,45-59
135,26-02-2023,CUST135,Male,20, Karnataka ,Clothing,2,25,50,Feb 2023,Under 30
136,20-03-2023,CUST136,Male,44, Gujarat ,Electronics,2,300,600,Mar 2023,30-44
137,18-11-2023,CUST137,Male,46, Rajasthan ,Beauty,2,500,1000,Nov 2023,45-59
138,23-03-2023,CUST138,Male,49, Meghalaya ,Clothing,4,50,200,Mar 2023,45-59
139,15-12-2023,CUST139,Male,36, Madhya Pradesh ,Beauty,4,500,2000,Dec 2023,30-44
140,05-08-2023,CUST140,Male,38, Rajasthan ,Electronics,1,30,30,Aug 2023,30-44
141,02-11-2023,CUST141,Female,22, Manipur ,Electronics,1,50,50,Nov 2023,Under 30
142,02-02-2023,CUST142,Male,35, Chhattisgarh ,Electronics,4,300,1200,Feb 2023,30-44
143,17-07-2023,CUST143,Female,45, Himachal Pradesh ,Clothing,1,50,50,Jul 2023,45-59
144,15-07-2023,CUST144,Female,59, Chhattisgarh ,Beauty,3,500,1500,Jul 2023,45-59
145,02-11-2023,CUST145,Female,39, Haryana ,Clothing,3,25,75,Nov 2023,30-44
146,28-08-2023,CUST146,Male,38, Telangana ,Clothing,4,50,200,Aug 2023,30-44
147,28-09-2023,CUST147,Male,23, Nagaland ,Electronics,1,300,300,Sep 2023,Under 30
148,09-05-2023,CUST148,Male,18, Nagaland ,Clothing,2,30,60,May 2023,Under 30
149,11-10-2023,CUST149,Male,22, Himachal Pradesh ,Clothing,3,25,75,Oct 2023,Under 30
150,06-01-2023,CUST150,Female,58, Telangana ,Electronics,4,30,120,Jan 2023,45-59
151,15-12-2023,CUST151,Male,29, Odisha ,Clothing,1,50,50,Dec 2023,Under 30
152,28-02-2023,CUST152,Male,43, Maharashtra ,Electronics,4,500,2000,Feb 2023,30-44
153,16-12-2023,CUST153,Male,63, Odisha ,Electronics,2,500,1000,Dec 2023,60+
154,02-10-2023,CUST154,Male,51, Madhya Pradesh ,Electronics,3,300,900,Oct 2023,45-59
155,17-05-2023,CUST155,Male,31, Kerala ,Electronics,4,500,2000,May 2023,30-44
156,25-11-2023,CUST156,Female,43, Haryana ,Clothing,4,25,100,Nov 2023,30-44
157,24-06-2023,CUST157,Male,62, Chhattisgarh ,Electronics,4,500,2000,Jun 2023,60+
158,27-02-2023,CUST158,Female,44, Mizoram ,Electronics,2,300,600,Feb 2023,30-44
159,31-05-2023,CUST159,Male,26, Meghalaya ,Clothing,4,50,200,May 2023,Under 30
160,11-08-2023,CUST160,Female,43, Assam ,Clothing,2,50,100,Aug 2023,30-44
161,22-03-2023,CUST161,Male,64, Tripura ,Beauty,2,500,1000,Mar 2023,60+
162,21-08-2023,CUST162,Male,39, Arunachal Pradesh ,Clothing,2,30,60,Aug 2023,30-44
163,02-01-2023,CUST163,Female,64, West Bengal ,Clothing,3,50,150,Jan 2023,60+
164,15-05-2023,CUST164,Female,47, Bihar ,Beauty,3,500,1500,May 2023,45-59
165,14-09-2023,CUST165,Female,60, Chhattisgarh ,Clothing,4,300,1200,Sep 2023,60+
166,02-04-2023,CUST166,Male,34, Rajasthan ,Clothing,4,500,2000,Apr 2023,30-44
167,17-09-2023,CUST167,Female,43, Goa ,Clothing,3,50,150,Sep 2023,30-44
168,24-02-2023,CUST168,Male,53, Uttar Pradesh ,Clothing,1,300,300,Feb 2023,45-59
169,17-11-2023,CUST169,Male,18, Sikkim ,Beauty,3,500,1500,Nov 2023,Under 30
170,02-06-2023,CUST170,Female,25, Maharashtra ,Clothing,2,25,50,Jun 2023,Under 30
171,24-11-2023,CUST171,Female,52, Punjab ,Clothing,3,300,900,Nov 2023,45-59
172,17-09-2023,CUST172,Male,32, Assam ,Beauty,2,25,50,Sep 2023,30-44
173,08-11-2023,CUST173,Male,64, Madhya Pradesh ,Electronics,4,30,120,Nov 2023,60+
174,12-04-2023,CUST174,Female,39, Madhya Pradesh ,Beauty,1,300,300,Apr 2023,30-44
175,20-03-2023,CUST175,Female,31, Punjab ,Electronics,4,25,100,Mar 2023,30-44
176,11-07-2023,CUST176,Female,43, Manipur ,Beauty,2,50,100,Jul 2023,30-44
177,24-03-2023,CUST177,Male,45, Mizoram ,Beauty,2,50,100,Mar 2023,45-59
178,04-10-2023,CUST178,Male,40, Himachal Pradesh ,Clothing,2,30,60,Oct 2023,30-44
179,29-09-2023,CUST179,Male,31, Nagaland ,Electronics,1,300,300,Sep 2023,30-44
180,01-01-2023,CUST180,Male,41, West Bengal ,Clothing,3,300,900,Jan 2023,30-44
181,03-11-2023,CUST181,Male,19, Andhra Pradesh ,Electronics,4,300,1200,Nov 2023,Under 30
182,15-06-2023,CUST182,Male,62, Sikkim ,Beauty,4,30,120,Jun 2023,60+
183,08-09-2023,CUST183,Female,43, Telangana ,Beauty,3,300,900,Sep 2023,30-44
184,10-01-2023,CUST184,Male,31, Bihar ,Electronics,4,50,200,Jan 2023,30-44
185,27-02-2023,CUST185,Male,24, Sikkim ,Clothing,1,25,25,Feb 2023,Under 30
186,05-07-2023,CUST186,Male,20, Nagaland ,Clothing,4,50,200,Jul 2023,Under 30
187,07-06-2023,CUST187,Female,64, Tripura ,Clothing,2,50,100,Jun 2023,60+
188,03-05-2023,CUST188,Male,40, Himachal Pradesh ,Clothing,3,25,75,May 2023,30-44
189,30-01-2023,CUST189,Male,63, Tripura ,Beauty,1,50,50,Jan 2023,60+
190,04-05-2023,CUST190,Female,60, Rajasthan ,Beauty,3,30,90,May 2023,60+
191,18-10-2023,CUST191,Male,64, Karnataka ,Beauty,1,25,25,Oct 2023,60+
192,10-02-2023,CUST192,Male,62, Bihar ,Beauty,2,50,100,Feb 2023,60+
193,13-02-2023,CUST193,Male,35, Jharkhand ,Beauty,3,500,1500,Feb 2023,30-44
194,06-09-2023,CUST194,Male,55, Maharashtra ,Clothing,4,50,200,Sep 2023,45-59
195,05-02-2023,CUST195,Male,52, Goa ,Clothing,1,30,30,Feb 2023,45-59
196,30-09-2023,CUST196,Female,32, Manipur ,Clothing,3,300,900,Sep 2023,30-44
197,06-03-2023,CUST197,Female,42, Andhra Pradesh ,Clothing,4,50,200,Mar 2023,30-44
198,07-03-2023,CUST198,Female,54, Telangana ,Beauty,3,300,900,Mar 2023,45-59
199,04-12-2023,CUST199,Male,45, Telangana ,Beauty,3,500,1500,Dec 2023,45-59
200,01-09-2023,CUST200,Male,27, Himachal Pradesh ,Beauty,3,50,150,Sep 2023,Under 30
201,09-10-2023,CUST201,Male,56, Mizoram ,Electronics,1,25,25,Oct 2023,45-59
202,26-03-2023,CUST202,Female,34, Tripura ,Clothing,4,300,1200,Mar 2023,30-44
203,16-05-2023,CUST203,Male,56, Goa ,Clothing,2,500,1000,May 2023,45-59
204,28-09-2023,CUST204,Male,39, Mizoram ,Beauty,1,25,25,Sep 2023,30-44
205,07-11-2023,CUST205,Female,43, Bihar ,Clothing,1,25,25,Nov 2023,30-44
206,05-08-2023,CUST206,Male,61, West Bengal ,Clothing,1,25,25,Aug 2023,60+
207,19-04-2023,CUST207,Female,42, Rajasthan ,Beauty,2,25,50,Apr 2023,30-44
208,04-10-2023,CUST208,Female,34, Jharkhand ,Electronics,4,50,200,Oct 2023,30-44
209,20-12-2023,CUST209,Female,30, Uttarakhand ,Electronics,4,50,200,Dec 2023,30-44
210,13-04-2023,CUST210,Male,37, Rajasthan ,Electronics,4,50,200,Apr 2023,30-44
211,01-01-2024,CUST211,Male,42, Mizoram ,Beauty,3,500,1500,Jan 2024,30-44
212,09-06-2023,CUST212,Male,21, Punjab ,Clothing,3,500,1500,Jun 2023,Under 30
213,24-07-2023,CUST213,Male,27, Gujarat ,Beauty,3,500,1500,Jul 2023,Under 30
214,10-12-2023,CUST214,Male,20, Chhattisgarh ,Beauty,2,30,60,Dec 2023,Under 30
215,29-11-2023,CUST215,Male,58, Kerala ,Clothing,3,500,1500,Nov 2023,45-59
216,11-07-2023,CUST216,Male,62, Tripura ,Electronics,2,50,100,Jul 2023,60+
217,13-08-2023,CUST217,Female,35, Goa ,Electronics,4,50,200,Aug 2023,30-44
218,22-09-2023,CUST218,Male,64, Nagaland ,Beauty,3,30,90,Sep 2023,60+
219,20-08-2023,CUST219,Female,53, Tripura ,Electronics,3,30,90,Aug 2023,45-59
220,03-03-2023,CUST220,Male,64, Mizoram ,Beauty,1,500,500,Mar 2023,60+
221,07-05-2023,CUST221,Male,39, Andhra Pradesh ,Beauty,2,300,600,May 2023,30-44
222,26-04-2023,CUST222,Male,51, Punjab ,Clothing,4,30,120,Apr 2023,45-59
223,02-02-2023,CUST223,Female,64, Karnataka ,Clothing,1,25,25,Feb 2023,60+
224,23-06-2023,CUST224,Female,25, Meghalaya ,Clothing,1,50,50,Jun 2023,Under 30
225,11-01-2023,CUST225,Female,57, Andhra Pradesh ,Beauty,4,25,100,Jan 2023,45-59
226,29-10-2023,CUST226,Female,61, Bihar ,Clothing,1,50,50,Oct 2023,60+
227,11-10-2023,CUST227,Male,36, Kerala ,Electronics,2,50,100,Oct 2023,30-44
228,28-04-2023,CUST228,Female,59, Uttarakhand ,Electronics,2,30,60,Apr 2023,45-59
229,29-10-2023,CUST229,Male,58, Uttar Pradesh ,Beauty,3,30,90,Oct 2023,45-59
230,23-04-2023,CUST230,Male,54, Jharkhand ,Beauty,1,25,25,Apr 2023,45-59
231,04-01-2023,CUST231,Female,23, Haryana ,Clothing,3,50,150,Jan 2023,Under 30
232,06-02-2023,CUST232,Female,43, Arunachal Pradesh ,Beauty,1,25,25,Feb 2023,30-44
233,29-12-2023,CUST233,Female,51, Haryana ,Beauty,2,300,600,Dec 2023,45-59
234,20-11-2023,CUST234,Female,62, Odisha ,Electronics,2,25,50,Nov 2023,60+
235,31-01-2023,CUST235,Female,23, Assam ,Electronics,2,500,1000,Jan 2023,Under 30
236,28-04-2023,CUST236,Female,54, Assam ,Clothing,1,25,25,Apr 2023,45-59
237,04-02-2023,CUST237,Female,50, Telangana ,Beauty,2,500,1000,Feb 2023,45-59
238,17-01-2023,CUST238,Female,39, Meghalaya ,Beauty,1,500,500,Jan 2023,30-44
239,19-06-2023,CUST239,Male,38, Uttarakhand ,Electronics,3,500,1500,Jun 2023,30-44
240,06-02-2023,CUST240,Female,23, Assam ,Beauty,1,300,300,Feb 2023,Under 30
241,21-09-2023,CUST241,Female,23, Tripura ,Electronics,3,25,75,Sep 2023,Under 30
242,02-05-2023,CUST242,Male,21, Nagaland ,Clothing,1,25,25,May 2023,Under 30
243,23-05-2023,CUST243,Female,47, Tripura ,Electronics,3,300,900,May 2023,45-59
244,09-12-2023,CUST244,Male,28, Chhattisgarh ,Beauty,2,50,100,Dec 2023,Under 30
245,06-09-2023,CUST245,Male,47, Chhattisgarh ,Clothing,3,30,90,Sep 2023,45-59
246,20-04-2023,CUST246,Female,48, Sikkim ,Electronics,2,25,50,Apr 2023,45-59
247,04-10-2023,CUST247,Male,41, Meghalaya ,Electronics,2,30,60,Oct 2023,30-44
248,09-03-2023,CUST248,Male,26, Nagaland ,Clothing,3,300,900,Mar 2023,Under 30
249,20-10-2023,CUST249,Male,20, Goa ,Clothing,1,50,50,Oct 2023,Under 30
250,23-10-2023,CUST250,Male,48, Himachal Pradesh ,Electronics,1,50,50,Oct 2023,45-59
251,31-08-2023,CUST251,Female,57, Mizoram ,Beauty,4,50,200,Aug 2023,45-59
252,05-05-2023,CUST252,Male,54, West Bengal ,Electronics,1,300,300,May 2023,45-59
253,31-08-2023,CUST253,Female,53, Punjab ,Clothing,4,500,2000,Aug 2023,45-59
254,28-07-2023,CUST254,Male,41, Maharashtra ,Electronics,1,500,500,Jul 2023,30-44
255,08-04-2023,CUST255,Male,48, Gujarat ,Clothing,1,30,30,Apr 2023,45-59
256,18-02-2023,CUST256,Male,23, Nagaland ,Clothing,2,500,1000,Feb 2023,Under 30
257,19-02-2023,CUST257,Male,19, Tripura ,Beauty,4,500,2000,Feb 2023,Under 30
258,04-12-2023,CUST258,Female,37, Telangana ,Clothing,1,50,50,Dec 2023,30-44
259,09-08-2023,CUST259,Female,45, Tamil Nadu ,Clothing,4,50,200,Aug 2023,45-59
260,01-07-2023,CUST260,Male,28, Gujarat ,Beauty,2,30,60,Jul 2023,Under 30
261,05-08-2023,CUST261,Male,21, Tamil Nadu ,Clothing,2,25,50,Aug 2023,Under 30
262,30-07-2023,CUST262,Female,32, Jharkhand ,Beauty,4,30,120,Jul 2023,30-44
263,28-08-2023,CUST263,Male,23, Madhya Pradesh ,Beauty,2,30,60,Aug 2023,Under 30
264,28-01-2023,CUST264,Male,47, Sikkim ,Clothing,3,300,900,Jan 2023,45-59
265,11-12-2023,CUST265,Male,55, Rajasthan ,Clothing,3,300,900,Dec 2023,45-59
266,01-12-2023,CUST266,Female,19, Kerala ,Electronics,2,30,60,Dec 2023,Under 30
267,27-11-2023,CUST267,Female,32, Manipur ,Beauty,3,30,90,Nov 2023,30-44
268,20-02-2023,CUST268,Female,28, Mizoram ,Electronics,1,30,30,Feb 2023,Under 30
269,01-02-2023,CUST269,Male,25, Manipur ,Clothing,4,500,2000,Feb 2023,Under 30
270,26-07-2023,CUST270,Male,43, Bihar ,Electronics,1,300,300,Jul 2023,30-44
271,23-06-2023,CUST271,Female,62, Haryana ,Beauty,4,30,120,Jun 2023,60+
272,25-02-2023,CUST272,Female,61, Haryana ,Electronics,2,50,100,Feb 2023,60+
273,08-05-2023,CUST273,Female,22, Assam ,Beauty,1,50,50,May 2023,Under 30
274,09-04-2023,CUST274,Female,23, Karnataka ,Clothing,2,500,1000,Apr 2023,Under 30
275,08-04-2023,CUST275,Male,43, Andhra Pradesh ,Clothing,2,500,1000,Apr 2023,30-44
276,02-10-2023,CUST276,Female,21, Odisha ,Beauty,4,25,100,Oct 2023,Under 30
277,18-08-2023,CUST277,Male,36, Nagaland ,Clothing,4,25,100,Aug 2023,30-44
278,13-03-2023,CUST278,Female,37, Haryana ,Clothing,4,25,100,Mar 2023,30-44
279,05-08-2023,CUST279,Male,50, Odisha ,Clothing,1,500,500,Aug 2023,45-59
280,04-04-2023,CUST280,Female,37, Haryana ,Clothing,3,500,1500,Apr 2023,30-44
281,23-05-2023,CUST281,Female,29, Andhra Pradesh ,Beauty,4,500,2000,May 2023,Under 30
282,25-08-2023,CUST282,Female,64, Assam ,Electronics,4,50,200,Aug 2023,60+
283,08-05-2023,CUST283,Female,18, Tamil Nadu ,Electronics,1,500,500,May 2023,Under 30
284,08-02-2023,CUST284,Male,43, Rajasthan ,Clothing,4,50,200,Feb 2023,30-44
